Feature,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Spearman_p_adj,Pearson_p_adj,Spearman_abs
SPX_minus_SMA100,2565,-0.23446555315853693,2.2682946014964017e-33,-0.16250034322845186,1.2209391162907147e-16,1.0744264223358289e-14,1.9960992493168336e-31,0.16250034322845186
SPX_ZScore50,2565,-0.19596395570745903,1.2809034991199012e-23,-0.15937426125941573,4.675059681288663e-16,2.057026259767012e-14,1.4089938490318914e-22,0.15937426125941573
BQI_V2_ABS,2565,0.19739519013897586,6.004512244004434e-24,0.13325177783358275,1.2389755271624438e-11,3.634328213009835e-10,7.548529678177003e-23,0.13325177783358275
SPX_MACD_Line,2565,-0.2118042782347664,2.105452318901581e-27,-0.12918081565989692,5.140383780395168e-11,1.1308844316869369e-09,6.175993468777971e-26,0.12918081565989692
SPX_HV50,2565,0.1735109927388291,8.710067281601992e-19,0.12668389189863505,1.2038997081530399e-10,2.09710749402286e-09,6.387382673174794e-18,0.12668389189863505
SPX_minus_SMA200,2565,-0.1745638694569491,5.334862294867857e-19,-0.1261732970751579,1.42984601865195e-10,2.09710749402286e-09,4.2678898358942856e-18,0.1261732970751579
FF_BAT,2298,0.045388847087829746,0.02957295063845363,0.12548417276566518,1.5798952802016531e-09,1.2639162241613225e-08,0.03771622690121622,0.12548417276566518
SPX_minus_SMA50,2565,-0.22119055557840628,8.54269373436394e-30,-0.12490915725060356,2.182466597657861e-10,2.7436722941984536e-09,3.7587852431201336e-28,0.12490915725060356
r,2565,0.11970413465203503,1.1910953372323882e-09,0.1239515128167325,2.9982097585594624e-10,3.2980307344154084e-09,4.991256651259532e-09,0.1239515128167325
SPX_ROC20,2565,-0.172953218158222,1.1278866096936613e-18,-0.12104299675826691,7.750302147899056e-10,7.578073211279078e-09,7.634924742541708e-18,0.12104299675826691
SPX_MACD_Signal,2565,-0.19754271921511177,5.551578731215522e-24,-0.1202936005672324,9.863480918072389e-10,8.679863207903703e-09,7.548529678177003e-23,0.1202936005672324
SPX_minus_SMA20,2565,-0.1760299732562246,2.6818758773475484e-19,-0.11638052409276903,3.391873551327953e-09,2.487373937640499e-08,2.622278635628714e-18,0.11638052409276903
SPX_RSI14,2565,-0.13195591708316512,1.9580787864284207e-11,-0.11254579754182657,1.094699327441111e-08,7.410272370370597e-08,1.0135937247394178e-10,0.11254579754182657
SPX_BB_Pct,2565,-0.11826603957638905,1.8799175195657235e-09,-0.10885073022113523,3.2654054760537655e-08,1.9157045459515422e-07,6.6173096688713465e-09,0.10885073022113523
SPX_ZScore20,2565,-0.11826603957638904,1.8799175195657235e-09,-0.10885073022113523,3.2654054760537655e-08,1.9157045459515422e-07,6.6173096688713465e-09,0.10885073022113523
BQR_1000,2565,0.06574079659450352,0.0008638599617185368,0.10701445318021864,5.54763011652134e-08,2.872504966336359e-07,0.001583747994705804,0.10701445318021864
BQI_ABS,2565,0.06574078022100457,0.0008638625425668022,0.1070134915992928,5.549157321331602e-08,2.872504966336359e-07,0.001583747994705804,0.1070134915992928
PnLDV,2565,0.05091393814652783,0.009908840323088905,0.10626275774654172,6.874475555043049e-08,3.3608547157988243e-07,0.014779287261556332,0.10626275774654172
EarL,2565,0.11949852428438638,1.2718231496680673e-09,0.10600975408032784,7.386580428238842e-08,3.421153040447464e-07,5.087292598672269e-09,0.10600975408032784
SPX_Stoch_D,2565,-0.10644152703173287,6.533533317902882e-08,-0.10188015831415745,2.3315780345037668e-07,1.017700858337174e-06,1.642716948501296e-07,0.10188015831415745
SPX_HV20,2565,0.17474937722848735,4.891857323518156e-19,0.10173073185822706,2.4286043210318923e-07,1.017700858337174e-06,4.2678898358942856e-18,0.10173073185822706
theta_k1,2565,-0.15309140131486043,6.4074735506875855e-15,-0.09768403759893565,7.16874486204296e-07,2.867497944817184e-06,3.524110452878172e-14,0.09768403759893565
SPX_ATR14,2565,0.20760788723698087,2.2724081371302634e-26,0.09375868083243129,1.968296968390093e-06,7.530875357318616e-06,4.999297901686579e-25,0.09375868083243129
SPX_ROC7,2565,-0.12024277426314761,1.002556698357486e-09,-0.09180114006408316,3.2098351335347412e-06,1.1769395489627384e-05,4.411249472772939e-09,0.09180114006408316
FF_ATM,2565,0.10776535609461543,4.4713803107538806e-08,0.09101083201289625,3.899734700503227e-06,1.3727066145771358e-05,1.1572984333715927e-07,0.09101083201289625
SPX_BB_Width,2565,0.2025406668597978,3.754031908258952e-25,0.08703208558657996,1.0145871453014428e-05,3.433987261020268e-05,6.6070961585357556e-24,0.08703208558657996
EarScore,2565,0.1603698316684495,3.0573690041985897e-16,0.08097435914796537,4.029913836083675e-05,0.0001313453398427272,1.7936564824631723e-15,0.08097435914796537
RANK_PRE,2565,-0.10997877387283794,2.347819815469062e-08,-0.07311023009783081,0.00021065524244732233,0.0006620593334058702,6.45650449253992e-08,0.07311023009783081
SPX_Williams_R,2565,-0.0766581058361478,0.00010180876231248341,-0.07236442619763625,0.0002444749017873767,0.000717126378576305,0.0001947645887717074,0.07236442619763625
SPX_Stoch_K,2565,-0.07665810583614778,0.00010180876231248341,-0.07236442619763625,0.0002444749017873767,0.000717126378576305,0.0001947645887717074,0.07236442619763625
SPX_SMA100,2565,0.1007511430903991,3.1682608042245946e-07,0.0704273993977547,0.0003575973819911804,0.0010151151488781895,7.744637521437898e-07,0.0704273993977547
__base_idx,2565,0.10985448505929632,2.435121925831479e-08,0.0688725954135506,0.00048201904660358257,0.001325552378159852,6.493658468883943e-08,0.0688725954135506
SPX_SMA200,2565,0.09909899500422072,4.933350771486044e-07,0.06743919772092799,0.0006314327283474185,0.0016838206089264493,1.17333748078587e-06,0.06743919772092799
SPX_DailyChange,2565,0.16759644277904676,1.2917827654222867e-17,0.06721699777779663,0.0006581261214778551,0.0016862356722797704,8.119777382654373e-17,0.06721699777779663
SPX_Death_Cross,2565,0.060267404934861074,0.0022612790153759645,0.0669637714849249,0.0006898236841144515,0.0016862356722797704,0.0036180464246015434,0.0669637714849249
SPX_Golden_Cross,2565,-0.060267404934861074,0.0022612790153759645,-0.0669637714849249,0.0006898236841144515,0.0016862356722797704,0.0036180464246015434,0.0669637714849249
SPX_MACD_Histogram,2565,-0.07732649945076858,8.846585176651144e-05,-0.06489103834221725,0.0010078559277930635,0.0023358549605099637,0.00017693170353302287,0.06489103834221725
theta_total,2565,0.016379639624737194,0.40698462985038625,0.06488659185173301,0.0010086646420383934,0.0023358549605099637,0.4164493886841162,0.06488659185173301
SPX_EMA200,2565,0.09526558337519289,1.3418786290754352e-06,0.06216666564331165,0.0016327347658782066,0.003684119471725184,3.027828701503546e-06,0.06216666564331165
net_credit_diff,2565,-0.060733738767125796,0.002089185566956192,-0.06170862489916779,0.0017675549891618069,0.0038886209761559757,0.003468836413059338,0.06170862489916779
SPX_minus_SMA7,2565,-0.120391792341482,9.557546627625537e-10,-0.05479990028787153,0.005501196116422395,0.011606274352338353,4.411249472772939e-09,0.05479990028787153
theta_k2,2565,-0.12476848033566582,2.2870343747652033e-10,-0.05475558590470039,0.005539358213616031,0.011606274352338353,1.118105694329655e-09,0.05475558590470039
delta_total,2565,0.08281702463338263,2.6749577970766395e-05,0.05424149845211256,0.005999851324711795,0.012278765501735768,5.7413728327498606e-05,0.05424149845211256
RATIO_UEL_EARS,2565,-0.004380264671143634,0.8245201316574519,-0.05366978902810197,0.006552206955325508,0.013104413910651015,0.8245201316574519,0.05366978902810197
delta_k1,2565,-0.02074042182122936,0.29371039679335514,-0.043121932697330306,0.02896979431160364,0.056652042209358225,0.3076966061644673,0.043121932697330306
net_credit_mediana_n,2565,-0.034224446088032885,0.08309776371132814,-0.04126148463194009,0.03665434487178702,0.07012135540689692,0.0925645975518592,0.04126148463194009
SPX_SMA50,2565,0.08320800457203129,2.4495049907795837e-05,0.037413292725572596,0.05814980477911487,0.10887623022472571,5.388910979715085e-05,0.037413292725572596
delta_k3,2565,-0.0077503776449227985,0.6948078531279072,-0.03513247607978261,0.0752405429513638,0.13794099541083363,0.702794150290297,0.03513247607978261
Asym,2565,0.041990812162412426,0.03345659293692321,-0.03358014042308506,0.08906612989848621,0.15728916604372983,0.041467326457031585,0.03358014042308506
VIX_Close,2565,0.1178409770374246,2.149165659193592e-09,0.03354840018147659,0.08936884434302832,0.15728916604372983,7.274099154193696e-09,0.03354840018147659
