variable,train_corr,test_corr,abs_train,abs_test,diff,pval
SPX_chg_pct_50,0.4195447458500416,0.4132349149796558,0.4195447458500416,0.4132349149796558,0.00630983087038578,1.8686298273942546e-77
SPX_chg_pct_90,0.3536353563498804,0.3472501764374708,0.3536353563498804,0.3472501764374708,0.006385179912409611,2.679794832936235e-52
SPX_chg_pct_25,0.31464311900010067,0.3366039650479028,0.31464311900010067,0.3366039650479028,0.02196084604780213,1.5337167508347865e-42
SPX_chg_pct_05,0.22831547754211906,0.17477065386253132,0.22831547754211906,0.17477065386253132,0.05354482367958774,1.3767140267757635e-22
BQI_V2_ABS,0.20204675440385986,0.1846908045889975,0.20204675440385986,0.1846908045889975,0.017355949814862354,5.450129205497137e-18
SPX_MACD_Line,-0.19719987657534824,-0.18362985588058717,0.19719987657534824,0.18362985588058717,0.01357002069476107,3.3991560779431794e-17
SPX_MACD_Signal,-0.19433070384894077,-0.17718316169966575,0.19433070384894077,0.17718316169966575,0.017147542149275025,9.825895832460251e-17
SPX_minus_SMA50,-0.19234702429025946,-0.18543165820975374,0.19234702429025946,0.18543165820975374,0.006915366080505719,2.0274309753442944e-16
SPX_minus_SMA100,-0.19111670315875484,-0.15255762288388933,0.19111670315875484,0.15255762288388933,0.038559080274865515,3.164833529906545e-16
EarScore,0.16469982162356947,0.14860032585008298,0.16469982162356947,0.14860032585008298,0.01609949577348649,2.202120245220739e-12
SPX_ZScore50,-0.16099698459902737,-0.18059781888226037,0.16099698459902737,0.18059781888226037,0.019600834283233004,6.926308562514019e-12
theta_k1,-0.15580247734520028,-0.14702120791020695,0.15580247734520028,0.14702120791020695,0.008781269434993327,3.2030193745629845e-11
SPX_minus_SMA200,-0.14646042407284868,-0.10132480353143712,0.14646042407284868,0.10132480353143712,0.045135620541411556,4.5328894375959723e-10
SPX_ROC20,-0.1432375697606041,-0.14450656791072855,0.1432375697606041,0.14450656791072855,0.0012689981501244618,1.3323521901484937e-09
theta_k2,-0.13957621392512765,-0.08597933168258023,0.13957621392512765,0.08597933168258023,0.05359688224254741,2.877161415617096e-09
SPX_minus_SMA20,-0.1311062333041684,-0.14069276785215898,0.1311062333041684,0.14069276785215898,0.009586534547990577,2.4775068157791214e-08
price_bid_short1,0.13070460877915668,0.08466130826926653,0.13070460877915668,0.08466130826926653,0.04604330050989015,2.734797852707599e-08
price_mid_short1,0.12970051322208673,0.08390559596810171,0.12970051322208673,0.08390559596810171,0.04579491725398502,3.496564619174336e-08
price_ask_long2,0.12885160748433794,0.08559931117792924,0.12885160748433794,0.08559931117792924,0.0432522963064087,4.2977086539543446e-08
price_ask_short1,0.12862211840529472,0.08308550072727719,0.12862211840529472,0.08308550072727719,0.04553661767801753,4.543171894935979e-08
r,0.12836053728368224,0.09922734857028953,0.12836053728368224,0.09922734857028953,0.02913318871339271,4.8395334679335205e-08
price_mid_long2,0.12724197794528722,0.08259513048155502,0.12724197794528722,0.08259513048155502,0.044646847463732195,6.332062098718286e-08
RANK_PRE,-0.12604418987942353,-0.06893071365879926,0.12604418987942353,0.06893071365879926,0.05711347622062428,8.4227286525248e-08
price_bid_long2,0.12547301261701138,0.07946295639108573,0.12547301261701138,0.07946295639108573,0.04601005622592565,9.641357743588088e-08
EarR,0.12034432217316256,0.03654752653338986,0.12034432217316256,0.03654752653338986,0.0837967956397727,3.158687363603518e-07
__base_idx,0.1146283355801117,0.09859709155870691,0.1146283355801117,0.09859709155870691,0.016031244021404795,1.120603441356872e-06
SPX_RSI14,-0.11294383256018964,-0.13249002850402833,0.11294383256018964,0.13249002850402833,0.01954619594383869,1.620058679480196e-06
FF_ATM,0.10617322722302983,0.11213319412748537,0.10617322722302983,0.11213319412748537,0.005959966904455549,6.547208494826802e-06
SPX_Stoch_D,-0.10598177319788464,-0.11491903145168776,0.10598177319788464,0.11491903145168776,0.008937258253803121,6.844397045318312e-06
EarL,0.10377857620626253,0.1620678404837871,0.10377857620626253,0.1620678404837871,0.05828926427752458,1.054573672742931e-05
delta_total,0.10198730702433889,0.03261614667141677,0.10198730702433889,0.03261614667141677,0.06937116035292212,1.496359827438236e-05
SPX_chg_pct_01,0.10006991212784586,0.055327307883753465,0.10006991212784586,0.055327307883753465,0.04474260424409239,2.1970554329395633e-05
SPX_HV50,0.09779620012584583,0.1188897396660976,0.09779620012584583,0.1188897396660976,0.02109353954025177,3.352102648119711e-05
SPX_ROC7,-0.08590427850369953,-0.07062915544392698,0.08590427850369953,0.07062915544392698,0.01527512305977255,0.00027623410437169384
